INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,SCHEDULE_ITEM_ID,SCHEDULE_ITEM_NAME,SCHEDULE_ITEM_ATR
,,,,,,,,0,"000000000000","000000000000-0000","25                                  ","休憩開始時刻10",1
,,,,,,,,0,"000000000000","000000000000-0000","26                                  ","休憩終了時刻10",1
,,,,,,,,0,"000000000000","000000000000-0000","27                                  ","育児介護区分1",3
,,,,,,,,0,"000000000000","000000000000-0000","28                                  ","育児介護開始時刻1",1
,,,,,,,,0,"000000000000","000000000000-0000","29                                  ","育児介護終了時刻1",1
,,,,,,,,0,"000000000000","000000000000-0000","3                                   ","勤務開始時刻1",1
,,,,,,,,0,"000000000000","000000000000-0000","30                                  ","育児介護区分2",3
,,,,,,,,0,"000000000000","000000000000-0000","31                                  ","育児介護開始時刻2",1
,,,,,,,,0,"000000000000","000000000000-0000","32                                  ","育児介護終了時刻2",1
,,,,,,,,0,"000000000000","000000000000-0000","33                                  ","総労働時間",0
,,,,,,,,0,"000000000000","000000000000-0000","34                                  ","実働時間",0
,,,,,,,,0,"000000000000","000000000000-0000","35                                  ","所定時間",0
,,,,,,,,0,"000000000000","000000000000-0000","36                                  ","休憩時間",0
,,,,,,,,0,"000000000000","000000000000-0000","37                                  ","平日時間",0
,,,,,,,,0,"000000000000","000000000000-0000","39                                  ","フレックス超過時間",0
,,,,,,,,0,"000000000000","000000000000-0000","4                                   ","勤務終了時刻1",1
,,,,,,,,0,"000000000000","000000000000-0000","40                                  ","確定区分",3
,,,,,,,,0,"000000000000","000000000000-0000","41                                  ","直行直帰区分1",3
,,,,,,,,0,"000000000000","000000000000-0000","42                                  ","直行直帰区分2",3
,,,,,,,,0,"000000000000","000000000000-0000","43                                  ","人件費時間1",0
,,,,,,,,0,"000000000000","000000000000-0000","44                                  ","人件費時間2",0
,,,,,,,,0,"000000000000","000000000000-0000","45                                  ","人件費時間3",0
,,,,,,,,0,"000000000000","000000000000-0000","46                                  ","人件費時間4",0
,,,,,,,,0,"000000000000","000000000000-0000","47                                  ","人件費時間5",0
,,,,,,,,0,"000000000000","000000000000-0000","48                                  ","人件費時間6",0
,,,,,,,,0,"000000000000","000000000000-0000","49                                  ","人件費時間7",0
,,,,,,,,0,"000000000000","000000000000-0000","5                                   ","勤務開始時刻2",1
,,,,,,,,0,"000000000000","000000000000-0000","50                                  ","人件費時間8",0
,,,,,,,,0,"000000000000","000000000000-0000","51                                  ","人件費時間9",0
,,,,,,,,0,"000000000000","000000000000-0000","52                                  ","人件費時間10",0
,,,,,,,,0,"000000000000","000000000000-0000","53                                  ","人件費金額1",6
,,,,,,,,0,"000000000000","000000000000-0000","54                                  ","人件費金額2",6
,,,,,,,,0,"000000000000","000000000000-0000","55                                  ","人件費金額3",6
,,,,,,,,0,"000000000000","000000000000-0000","56                                  ","人件費金額4",6
,,,,,,,,0,"000000000000","000000000000-0000","57                                  ","人件費金額5",6
,,,,,,,,0,"000000000000","000000000000-0000","58                                  ","人件費金額6",6
,,,,,,,,0,"000000000000","000000000000-0000","59                                  ","人件費金額7",6
,,,,,,,,0,"000000000000","000000000000-0000","6                                   ","勤務終了時刻2",1
,,,,,,,,0,"000000000000","000000000000-0000","60                                  ","人件費金額8",6
,,,,,,,,0,"000000000000","000000000000-0000","61                                  ","人件費金額9",6
,,,,,,,,0,"000000000000","000000000000-0000","62                                  ","人件費金額10",6
,,,,,,,,0,"000000000000","000000000000-0000","63                                  ","雇用",4
,,,,,,,,0,"000000000000","000000000000-0000","64                                  ","分類",4
,,,,,,,,0,"000000000000","000000000000-0000","65                                  ","職場",4
,,,,,,,,0,"000000000000","000000000000-0000","66                                  ","職位",4
,,,,,,,,0,"000000000000","000000000000-0000","7                                   ","休憩開始時刻1",1
,,,,,,,,0,"000000000000","000000000000-0000","8                                   ","休憩終了時刻1",1
,,,,,,,,0,"000000000000","000000000000-0000","9                                   ","休憩開始時刻2",1
