INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,ATTENDANCE_ITEM_ID,ROUND_UNIT,ROUND_PROC
,,,,,,,,0,"000000000000","000000000000-0000",434,0,0
,,,,,,,,0,"000000000000","000000000000-0000",441,0,0
,,,,,,,,0,"000000000000","000000000000-0000",448,0,0
,,,,,,,,0,"000000000000","000000000000-0000",455,0,0
,,,,,,,,0,"000000000000","000000000000-0000",458,0,0
,,,,,,,,0,"000000000000","000000000000-0000",460,0,0
,,,,,,,,0,"000000000000","000000000000-0000",506,0,0
,,,,,,,,0,"000000000000","000000000000-0000",507,0,0
,,,,,,,,0,"000000000000","000000000000-0000",508,0,0
,,,,,,,,0,"000000000000","000000000000-0000",509,0,0
,,,,,,,,0,"000000000000","000000000000-0000",510,0,0
,,,,,,,,0,"000000000000","000000000000-0000",511,0,0
,,,,,,,,0,"000000000000","000000000000-0000",512,0,0
,,,,,,,,0,"000000000000","000000000000-0000",513,0,0
,,,,,,,,0,"000000000000","000000000000-0000",514,0,0
,,,,,,,,0,"000000000000","000000000000-0000",515,0,0
,,,,,,,,0,"000000000000","000000000000-0000",516,0,0
,,,,,,,,0,"000000000000","000000000000-0000",517,0,0
,,,,,,,,0,"000000000000","000000000000-0000",518,0,0
,,,,,,,,0,"000000000000","000000000000-0000",519,0,0
,,,,,,,,0,"000000000000","000000000000-0000",520,0,0
,,,,,,,,0,"000000000000","000000000000-0000",521,0,0
,,,,,,,,0,"000000000000","000000000000-0000",522,0,0
,,,,,,,,0,"000000000000","000000000000-0000",523,0,0
,,,,,,,,0,"000000000000","000000000000-0000",524,0,0
,,,,,,,,0,"000000000000","000000000000-0000",525,0,0
,,,,,,,,0,"000000000000","000000000000-0000",526,0,0
,,,,,,,,0,"000000000000","000000000000-0000",527,0,0
,,,,,,,,0,"000000000000","000000000000-0000",528,0,0
,,,,,,,,0,"000000000000","000000000000-0000",529,0,0
,,,,,,,,0,"000000000000","000000000000-0000",530,0,0
,,,,,,,,0,"000000000000","000000000000-0000",531,0,0
,,,,,,,,0,"000000000000","000000000000-0000",532,0,0
,,,,,,,,0,"000000000000","000000000000-0000",533,0,0
,,,,,,,,0,"000000000000","000000000000-0000",534,0,0
,,,,,,,,0,"000000000000","000000000000-0000",535,0,0
